bedrooms,bathrooms,toilets,description,location,spec_location,price,estate_flag,terrace_flag,new_flag,serviced_flag,locationbed,estate_price,serviced_price,location_rank,new_price,exec_flag
2,2.0,3.0,"2 bedroom apartment in a block of 4, upstairs flat ... All Room Ensuit. Pop Ceiling. Drainage System. Security. Parking Space. ...",gbagada,ifako ifako gbagada gbagada lagos,1000000.0,1,0,0,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
4,4.0,4.0,4 bedroom Semi Detached Duplex House for rent Ilawe Ifako-gbagada Gbagada Lagos ... Old. Renovated. Pop Ceiling. Security. Parking Space. ...,gbagada,ilawe ifako gbagada gbagada lagos,1500000.0,0,1,0,0,gbagada4,2000000.0,2300000.0,43,2300000.0,2
2,2.0,3.0,"Serviced 2 Bedroom all rooms en-suite flat with Prepaid Meter & Car Park. The Parlour & 2 bedrooms are furnished with Airconditioning System each, Water Heater, Gas Cooker, Kitchen Cabinets, Kitchen Storage Area, Wardrobes in all ... ...",gbagada,pedro-gbagada area gbagada lagos,1300000.0,1,0,1,1,gbagada2,800000.0,1060000.0,26,1060000.0,2
1,0.0,0.0,"1 room self contain for rent by Chevron Clinic Gbagada LaKindly call the phone numbers below for more info; APRO GLOBAL REAL ESTATES Web:[emailÂ protected] com.ng. Tel: 01-7620139 Mobile: 080-51-595-336,080-29-481-639 070-63-822-217, 070-82-974-088 ... ...",gbagada,chevron clinic gbagada lagos,300000.0,1,0,0,0,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
1,0.0,0.0,"Mini flat for rent at Atunrase Estate Gbagada Lagos Rent: N500,000 APRO GLOBAL REAL ESTATES Web:[emailÂ protected] com.ng. Tel: 01-7620139 Mobile: 080-51-595-336, 080-29-481-639 070-63-822-217, 070-82-974-088 ... ...",gbagada,atunrase medina gbagada lagos,500000.0,1,0,0,0,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
1,1.0,1.0,"For lease: Newly built mini flat with kitchen,toilet, balcony, prepaid meter at community street,odo-eran,iyana oworo, gbagada,Lagos. Rent:N400k SC: N30K Caution:N20k ... New. Parking Space. Pop Ceiling. Security. ...",gbagada,"community street ,odo eran,iyana oworo gbagada lagos",400000.0,0,0,1,0,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
2,2.0,3.0,"Tastefully finished 2brm flat with all rooms ensuite and guest toilet, relatively new, upstairs flat at LOCATION:, Sawmill, Gbagada. Price: 900k, 1yr rent. ... Big Compound. Parking Space. All Room Ensuit. Security. Pop Ceiling. ...",gbagada,sawmill gbagada gbagada lagos,900000.0,1,0,1,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
2,2.0,3.0,"Spacious and newly Built 2bedroom with modern finishing all rooms ensuite, with pop finishing, prepaid meter etc LOCATION: olaniyi street of pedro road by Gbagada PHASE 2 Price: 1m per annum ... New. Big Compound. Security. Jacuzzi. All Room Ensuit. Parking Space. Pop Ceiling. ...",gbagada,off pedro gbagada ifako gbagada gbagada lagos,1000000.0,1,0,1,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
4,4.0,4.0,*Just out now* Decent 5 bedroom duplex with mini flat bq at josodat estate sholuyi gbagada self compound Rent: 2.5m per annum 1 yr rent only. ... Renovated. Old. ...,gbagada,ifako ifako gbagada gbagada lagos,2500000.0,1,1,1,1,gbagada4,2000000.0,2300000.0,43,2300000.0,3
3,3.0,3.0,"*Fresh* Spacious 3 bedrooms duplex common compound, all rooms ensuite with guest toilet, family lounge n POP @ off Ajayi Aina ifako Gbagada 1.5m 1yr ... Old. Cheap. Furnished. Renovated. ...",gbagada,ajayi aina ifako gbagada gbagada lagos,1500000.0,1,1,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
3,3.0,3.0,Lovely 3bed at gbagada phr 2 900k ... Cheap. Furnished. Security. 24 Hours Security. Big Compound. Security Doors. Parking Space. Pop Ceiling. ...,gbagada,hu phase 2 gbagada lagos,900000.0,0,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,1
3,3.0,4.0,A spacious 3 bedroom duplex at ifako gbagada with all rooms ensuit plus guest toilet all round tiles with dinning area 2 sitting pop finishing common compound for more info call or Whatsapp me ... Dry. Renovated. Security. Big Compound. All Room Ensuit. Parking Space. Pop Ceiling. ...,gbagada,off ajayi aino ifako gbagada gbagada lagos,1500000.0,1,1,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
2,1.0,1.0,This property is located in gbagada in soluyi it's consist of a two bedroom with a toilet and bath. Price tag is 450k maybe 400k can fly. For a year rent other charges follow suites INSPECTION ... ...,gbagada,soluyi gbagada lagos,450000.0,0,0,0,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
2,1.0,1.0,2 bedroom Flat / Apartment for rent Soluyi Gbagada Lagos ... Renovated. Security. 24 Hours Security. Supermarket Nearby. Restaurants Nearby. Street Lights. Security Doors. Parking Space. ...,gbagada,soluyi gbagada lagos,45000.0,0,0,0,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
3,3.0,4.0,"Very Spacious 3bedroom flat all rooms ensuite with guest toilet, wardrobe, kitchen cabinet in a block of 4 flat. Ground floor vacant ... 24 Hours Security. Big Compound. All Room Ensuit. Street Lights. Security Doors. ...",gbagada,josodat estate soluyi gbagada lagos,1500000.0,1,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
3,3.0,4.0,"Spacious 3 bedrooms duplex common compound, all rooms ensuite with guest toilet, family lounge n POP @ off Ajayi Aina ifako Gbagada 1.5m 1yr ... Security. 24 Hours Security. Supermarket Nearby. Big Compound. All Room Ensuit. Street Lights. Security Doors. Pop Ceiling. ...",gbagada,off ajayi aina in a close ifako gbagada gbagada lagos,1500000.0,1,1,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
3,2.0,3.0,"A very nice Upstairs 3brm flat with 3t, 2b with pre paid meter at Shadia Estate, behind Chevron Staff Club and Clinc, Sholuyi, Gbagada. 1.3m, 1yr rent. ... Drainage System. Security. Big Compound. Security Doors. Parking Space. ...",gbagada,shadia estate soluyi gbagada lagos,1300000.0,1,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
2,2.0,2.0,"A decent, clean 2bedroom flat, all round tiles,fitted kitchen cabinet, ample parking parking, spacious rooms with wardrobe, clean and borehole water, constant light supply, in a decent area of Gbagaga N500k ... Dry. Renovated. Drainage System. Security. Big Compound. 24 Hours Security. Security Doors. All Room Ensuit. Parking Space. Supermarket Nearby. Street Lights. ...",gbagada,off dehinde estate ifako gbagada ifako gbagada gbagada lagos,500000.0,0,0,0,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
3,0.0,0.0,STILL AVAILABLE Lovely 3bedroom terrace duplex with all ensuite 4 tenants to share compound off yetunde brown street by toydam school Ifako Gbagada. Price: 1.5m ... New. Big Compound. All Room Ensuit. Parking Space. Pop Ceiling. ...,gbagada,off yetunde brown ifako gbagada gbagada lagos,1500000.0,1,1,1,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
1,1.0,1.0,"A decent roomself contain, all round tiles, ample parking space, well painted, and newly renovated, in a decent area of Oworo Gbagada, N200K 1yr ... Dry. Cheap. Renovated. Drainage System. Security. Children Play Ground. Big Compound. 24 Hours Security. Security Doors. All Room Ensuit. Parking Space. Supermarket Nearby. Street Lights. Fast Internet. ...",gbagada,"off labake street, mayaki oworo, gbagada oworonshoki gbagada lagos",200000.0,0,0,1,0,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
2,0.0,0.0,Just out ?? Mini 2bedroom flat office space at beside Mobil Gbagada Phase 2. 650k a year rent. Call : Haybee Consults [redacted] [redacted] ... ...,gbagada,close to mobil gbagada lagos,650000.0,0,0,0,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
3,3.0,4.0,"FRESH LETTING: THREE BEDROOM FIRST FLOOR FLAT IN A QUIET CLOSE IN IFAKO GBAGADA LAGOS. FEATURES: SPACIOUS LIVING ROOM, MASTER BEDROOM ENSUITE, TOILET AND BATH ASKING RENT :N1.3m buh 1.2m can fly yoruba client ... Drainage System. Big Compound. All Room Ensuit. Parking Space. ...",gbagada,ifako gbagada ifako gbagada gbagada lagos,1300000.0,0,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
3,3.0,4.0,"*Just now!!!* *An executive standard & spacious onwer standard 3bedroom flat behind a duplex , studed security doors, pop, cabinets & wardrobe, upstairs, all rooms ensuite + guest toilet with car park 1million per annum* *Location: Oworo, ... Drainage System. Security. Big Compound. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Supermarket Nearby. ...",gbagada,oworonshoki gbagada lagos,1000000.0,0,1,1,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,1
3,3.0,4.0,Nice 3bd flat @ oke alo all ensuite 1.5m ... Big Compound. All Room Ensuit. Parking Space. Pop Ceiling. ...,gbagada,oke alo millenuim ups gbagada lagos,1500000.0,1,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
2,2.0,3.0,"An Executive Super Standard Luxury Serviced 2bd Flat @ Gbagada Phs1 Extension, Lagos, with a fitted wardrobes and kitchen cabinets n cupboard, it also comes with an Inverter and two solid batteries, and standard sound ... Serviced. Drainage System. Security. Big Compound. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Supermarket Nearby. Street Lights. ...",gbagada,gbagada phase one extension phase 1 gbagada lagos,1000000.0,1,0,1,1,gbagada2,800000.0,1060000.0,26,1060000.0,1
2,2.0,3.0,"*Just Now:* Relatively new 2bedroom flat with all room ensuite, ground flat vacant with prepaid meter,, only 4 tenants to share compound, at Atunrase Estate, Gbagada. Rent: 1.1m per annum. ... Big Compound. All Room Ensuit. Parking Space. Pop Ceiling. ...",gbagada,atuntase estate atunrase medina gbagada lagos,1100000.0,1,0,1,1,gbagada2,800000.0,1060000.0,26,1060000.0,2
1,1.0,1.0,"A decent clean and spacious Roomself contain, all round tiles, well painted, Spacious Bar coney, big Lobby area, Spacious kitchen with fitted kitchen cabinet, Ample parking space, in a very Quiet and Serene Neighborhood ... Dry. Cheap. Renovated. Drainage System. Security. Big Compound. 24 Hours Security. Security Doors. All Room Ensuit. Parking Space. Street Lights. Fast Internet. ...",gbagada,"off labake street, oworosoki, gbagada, lagos oworonshoki gbagada lagos",220000.0,0,0,0,0,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
2,2.0,3.0,"Spacious and newly Built 2bedroom with modern finishing all rooms ensuite, with pop finishing, prepaid meter etc LOCATION: olaniyi street of pedro road by Gbagada PHASE 2 Price: 1m per annum ... New. Big Compound. Security. Jacuzzi. All Room Ensuit. Parking Space. Pop Ceiling. ...",gbagada,off pedro gbagada ifako gbagada gbagada lagos,1000000.0,1,0,1,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
3,3.0,4.0,*TO LET* Newly built 3Bedroom Duplex with A Room Bq in glory estate gbagada in a secured and serene environment *2living room & guest toilet.* *All rooms Ensuites* *Furnished kitchen* *Boys quarter* *Enough parking space* *Personal prepaid Meter* *Remote control gate with separate ... Boys Quater. Big Compound. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. ...,gbagada,glory estate ifako gbagada gbagada lagos,2500000.0,1,1,1,1,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,3
3,0.0,0.0,Newly built 3bedroom duplex with bq at Gbagada phase2 2.8m ... ... Drainage System. Security. Security Doors. Parking Space. Pop Ceiling. Supermarket Nearby. Street Lights. ...,gbagada,... phase 2 gbagada lagos,2800000.0,1,1,1,1,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,3
3,3.0,4.0,Decent 3 bedrooms ground flat all rooms ensuite with guest toilet in a decent close by Chevron Sholuyi Gbagada 1.2m 1 yr *Stay safe* ???? ?????????? ... Big Compound. All Room Ensuit. Pop Ceiling. ...,gbagada,chevron soluyi gbagada lagos,1200000.0,0,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
1,1.0,1.0,"Mini flat bungalow separated with store and wardrobes @ Adekunle Oshomo by Chevron staff club and clinic, Gbagada 700k per year rent ... Renovated. Drainage System. Security. Water Treatment. Security Doors. Parking Space. ...",gbagada,#NAME?,700000.0,1,0,1,1,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
1,1.0,2.0,Very lovely and spacious miniflat in Gbagada N800k for a year N750k for a year and half N700k for 2 years ... Dry. Renovated. Drainage System. Security. Water Treatment. Big Compound. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Supermarket Nearby. Restaurants Nearby. ...,gbagada,#NAME?,800000.0,1,0,1,1,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
2,2.0,4.0,Nice 2bd off pedro rd in a gated close wth 2t 2b upstairs 1.2m asking ... Drainage System. Security. Big Compound. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Street Lights. ...,gbagada,pefro gbagada lagos,1200000.0,1,0,1,1,gbagada2,800000.0,1060000.0,26,1060000.0,2
2,2.0,3.0,"*FRESH* Relatively new 2 bedrooms ground flat 3t 2b, 4 tenants to share compound with, kitchen cabs, wardrobes n prepaid meter @ Atunrase estate Gbagada 1m PA ... Drainage System. Security. Big Compound. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Supermarket Nearby. Street Lights. ...",gbagada,atunrase atunrase medina gbagada lagos,1000000.0,1,0,1,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
4,4.0,5.0,"*Just Out 4bedroom terraced duplex with 1 room boys quarter, all room ensuite plus guest toilet, only 2 people to share compound, located on a tarred Street at Medina Estate, Gbagada. *Rent:* 2.5m asking (slightly ... Boys Quater. Security. Big Compound. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Street Lights. ...",gbagada,medina estate gbagada medina gbagada lagos,2500000.0,1,1,1,1,gbagada4,2000000.0,2300000.0,43,2300000.0,3
2,3.0,3.0,"A Relatively Lovely and Luxurious 2bedroom flat, with all round Spanish tiles, Pop finishing, Fitted kitchen Cabinets, All bathroom has water heater, and kitchen has water heater, Chanderlayer lighting, fitted, all modern interior fitting available, ... Dry. Furnished. Drainage System. Security. Children Play Ground. Big Compound. Cctv Cameras. 24 Hours Security. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Supermarket Nearby. Street Lights. ...",gbagada,"off williams street, gbagada ifako gbagada gbagada lagos",900000.0,1,0,1,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
3,3.0,4.0,"*Just now* Spacious 3 bedrooms up n ground flats all rooms ensuite with guest toilet, water heater, kitchen cabinets, wardrobes n prepaid meter @ Sawmill Gbagada 1.2 n 1.1m respectively *Pix on request* ... Drainage System. Security. Big Compound. Security Doors. All Room Ensuit. Parking Space. ...",gbagada,sawmill ifako gbagada gbagada lagos,1200000.0,0,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
1,0.0,0.0,Mini flat bungalow 1t 1b separated with store n wardrobes @ Adekunle Oshomo by Chevron staff club n clinic Gbagada 700k 1yr ... ...,gbagada,chevron soluyi gbagada lagos,700000.0,1,0,1,1,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
2,2.0,3.0,"Decent serviced 2 bedrooms up flat all rooms ensuite with guest toilet, fitted with air conditioners n 100kv Generator @ Medina Estate, Gbagada. Rent: 1m Service charge: 250k per annum. Excluding diesel. Refundable Deposit: 200k. ... Serviced. Security. Children Play Ground. Big Compound. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. ...",gbagada,medina gbagada lagos,1000000.0,1,0,0,1,gbagada2,800000.0,1060000.0,26,1060000.0,1
3,3.0,4.0,"*TO LET* *MILLENIUM ESTATE, OKE ALO* 6 nos brand new, tastefully finished and very spacious 3b/r flats *@Adeyeye Street*. (All rooms ensuite, ample parking). *2.5M P.A* ... New. Drainage System. Security. Children Play Ground. Big Compound. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. ...",gbagada,oke alo millennium estate gbagada millenuim ups gbagada lagos,2500000.0,1,0,1,1,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,3
3,3.0,4.0,"A clean well refurbished 3bedroom flat, all rooms ensuite, with visitors toilet, All round tiles, separate dining section, well painted, and fitted kitchen cabinet, Ample parking space, all rooms have wardrobes, and all bathroom has ... Dry. Renovated. Drainage System. Big Compound. 24 Hours Security. Security Doors. All Room Ensuit. Parking Space. Street Lights. ...",gbagada,"off adio street, gbagada, newgarage, gbagada lagos new garage gbagada lagos",800000.0,0,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,1
3,3.0,4.0,6 nos of brand new 3bd @ oke alo gbagada 2.5m 1yr ... New. Drainage System. Security. Big Compound. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Supermarket Nearby. ...,gbagada,millenuim ups gbagada lagos,2500000.0,1,0,1,1,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,3
3,0.0,0.0,"*FRESH* Newly built n tastefully finished 6 units 3 bedrooms terraced duplex all rooms ensuite with car porch, security n interlocked compound by Medina estate Gbagada 3M PA Call haybee Consults Properties ... New. Drainage System. Security. Big Compound. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Supermarket Nearby. Street Lights. ...",gbagada,medina gbagada lagos,3000000.0,1,1,1,1,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,3
3,2.0,4.0,3 bedroom Flat for rent in Millenium Estate Gbagada (Oke Alo) N2.5m per year Very lovely. Pay and pack in ... Dry. Renovated. Furnished. Drainage System. Jacuzzi. Security. Water Treatment. 24 Hours Security. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Restaurants Nearby. ...,gbagada,gbagada lagos,2500000.0,1,0,1,1,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,3
3,3.0,5.0,New built 4nos of 3bedroom flat at Okealo millennium estate Gbagada Rent: Down 2.5million up 2.7million Nb: prefers a corporate tenant that can take all four or individuals that have a good corporate job. ... New. Drainage System. Security. Big Compound. 24 Hours Security. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. ...,gbagada,millennium estate gbagada millenuim ups gbagada lagos,2700000.0,1,0,1,1,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,3
3,3.0,4.0,"*Newly built 3bedrooms terrace duplex in glory estate gbagada in a secured and serene environment, 2living room & guest toilet. All rooms Ensuites, Furnished kitchen, Boys quarter, Enough parking space, Remote control gate with ... New. Drainage System. Security. Big Compound. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Supermarket Nearby. Street Lights. Restaurants Nearby. ...",gbagada,glory estate ifako gbagada gbagada lagos,2000000.0,1,1,1,1,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
2,2.0,3.0,Portable 2bedroom flat all rooms ensuite with guest toilet and wardrobe fitted kitchen and cabinet all tiled prepaid meter treated water upstairs and downstairs [emailÂ protected] powerline sholuyi gbagada #700 pics available by request ... Security. Security Doors. All Room Ensuit. Parking Space. ...,gbagada,powerline soluyi gbagada soluyi gbagada lagos,700000.0,0,0,0,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
4,4.0,5.0,"*FRESH* Newly built 2 nos 4 bedrooms terraced duplex all ensuite with guest toilet, wardrobes n kitchen cabinets , water heater n cubicle shower @ Gbagada phase 2 estate 3M PA *Pics on request* Residential or ... Drainage System. Security. Children Play Ground. Big Compound. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Supermarket Nearby. Street Lights. ...",gbagada,phase 2 gbagada lagos,3000000.0,1,1,1,1,gbagada4,2000000.0,2300000.0,43,2300000.0,3
3,3.0,4.0,"A Luxurious well finished 3bedroom flat, JUST 2TENANTS IN D COMPOUND all rooms ensuite, Pop finished, lovely fitted kitchen cabinets, separate dining section, Ample parking space, all modern interior fitting available in a serene estate ... Renovated. Security. Children Play Ground. Big Compound. 24 Hours Security. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Supermarket Nearby. ...",gbagada,"off zainab crescent, medina estate gbagada atunrase medina gbagada lagos",1600000.0,1,0,1,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
1,1.0,1.0,Just out; spacious mini flat all tiled fitted kitchen prepaid meter very clean self-compound at peace estate sholuyi gbagada#400 pics available by request ... ...,gbagada,peace estate soluyi gbagada lagos,400000.0,1,0,0,0,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
2,2.0,3.0,"A Serviced 2bd @ Gbagada Phase 1 Ext, Lagos, with all rooms ensuites, in a block of flats, upstairs, fenced round with gate and parking space, very close to Gbagada Express Way and Ikorodu Road, ... Serviced. Drainage System. Security. Children Play Ground. Big Compound. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Supermarket Nearby. Street Lights. Restaurants Nearby. ...",gbagada,gbagada phase one extension phase 1 gbagada lagos,1300000.0,1,0,1,1,gbagada2,800000.0,1060000.0,26,1060000.0,2
1,2.0,2.0,"A decent miniflat with 2toilets/bath, all round tiles, ample parking space, big barconey, all modern finishing available, Fitted kitchen cabinet, Ample parking space, located in a serene neighborhood at Oworo, Gbagada, N400K 1YR ... Dry. Renovated. Drainage System. Security. Big Compound. 24 Hours Security. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Supermarket Nearby. Street Lights. Restaurants Nearby. Fast Internet. ...",gbagada,"off secetariat, street, mayaki oworo, gbagada oworonshoki gbagada lagos",400000.0,0,0,0,0,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
2,2.0,3.0,"Renovated 2bedroom flat all rooms ensuite + guest toilet with spacious Kitchen upstairs 550k one yr rent required total package 800k Location: Ekore Oworo, Lagos... ... Renovated. Security. Security Doors. ...",gbagada,ekore oworonshoki gbagada lagos,550000.0,0,0,0,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
1,2.0,2.0,"A decent miniflat, with 2toilets/bath, all round tiles, pop finishing, fitted kitchen cabinet, And kitchen has Store, and kitchen is very big, Ample Parking Space, well renovated with good painting, in a serene neighborhood at ... Dry. Cheap. Renovated. Drainage System. Security. Big Compound. 24 Hours Security. Security Doors. All Room Ensuit. Parking Space. Pop Ceiling. Supermarket Nearby. Street Lights. Fast Internet. ...",gbagada,"off secretariat, street, oworosoki, gbagada oworonshoki gbagada lagos",400000.0,0,0,0,0,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
3,3.0,3.0,"3 bedrooms up flat, 3t 3b, ensuite POP, 3 tenants to share compound @ Sholuyi Gbagada 1.2m 1yr ... ...",gbagada,soluyi gbagada lagos,1200000.0,0,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
2,2.0,2.0,2bedroom flat for rent at New Garage Gbagada for N750k x 1year payment ... ...,gbagada,new garage gbagada lagos,750000.0,0,0,1,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
1,1.0,1.0,"Newly built roomself, comes with big kitchen, cabinet, wardrobe, gated compound and regular water. Rent 400k Agreement 80k Commission 80k Caution 50k Close to the island Whatsapp number is zero seven zero six four three zero one five four six ... Cheap. New. Dry. Security. 24 Hours Security. Supermarket Nearby. Big Compound. Restaurants Nearby. All Room Ensuit. Street Lights. Parking Space. ...",gbagada,off diya road ifako gbagada gbagada lagos,400000.0,0,0,1,0,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
1,1.0,1.0,"Newly renovated roomself at gbagada comes big kitchen, prepaid meter, gated street, gated house and water Rent 250k Agreement 50k Commission 50k Caution 50k Call now zero seven zero six four three zero one four five six (whatsapp) ... Cheap. Dry. Renovated. Security. Big Compound. Restaurants Nearby. All Room Ensuit. Street Lights. Parking Space. ...",gbagada,sawmil ifako gbagada gbagada lagos,250000.0,0,0,1,0,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
3,3.0,3.0,decent 3 bedroom flat available for rent in Gbagada. The house is located in a clean and secured environment. Its also very close to the main road. ... ...,gbagada,gbagada lagos,1500000.0,1,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
3,3.0,3.0,Brand new 3 bedroom flat for rent in Gbagada 2.5M asking. Just 2 in a compound ... ...,gbagada,gbagada lagos,2500000.0,1,0,1,1,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,3
3,3.0,4.0,"Spacious 3 bedrooms up n ground flats all rooms ensuite with guest toilet, water heater, kitchen cabinets, wardrobes n prepaid meter @ Sawmill Gbagada 1.1M and 1.2M respectively ... Renovated. Security Doors. All Room Ensuit. Parking Space. 24 Hours Security. Security. Big Compound. ...",gbagada,sawmill ifako gbagada gbagada lagos,1100000.0,0,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
3,3.0,3.0,"Spacious 3bedroom flat all rooms ensuite, upstairs fence round with carpark. ... Security Doors. All Room Ensuit. Pop Ceiling. Parking Space. Big Compound. ...",gbagada,popoola soluyi gbagada lagos,1200000.0,0,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
